artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Alexander Craig,When Times Are Hard,When Times Are Hard,Alexander Craig,2022,TCAGL2254270,3,414430305,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Fat Earth,4th Line Kind of Guy (Radio Edit),4th Line Kind of Guy (Radio Edit),Beach Glass Records,2025,QZHN92585344,4,414430436,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Your Smith,Bad Habit,Bad Habit,Neon Gold Records,2018,QM24S1819854,5,414430708,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Jen West,The Scale,The Scale,Jen West,2025,USDY42588317,6,414430982,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Àlamode,Playdate Overture,Swell,Àlamode,2018,USL4Q1776997,7,414431164,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Robin Hood Was Right,Sober,Robin Hood Was Right,Robin Hood Was Right,2023,USX9P2307150,8,414431437,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
One Less Guest,Gemini,Viewfinder,Telesuse Song,2023,QZK6N2334135,9,414431595,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
The Weather Station,Neon Signs,Neon Signs,Next Door Records,2024,USFP13785202,10,414432059,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
WHY NOT,Pink Hat,Pink Hat,Why Not,2018,USCGH1899685,11,414432090,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Heiruspecs,Cruise Control,Night Falls,Heiruspecs,2014,USSHL1300019,12,414432338,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
"Thank You, I'm Sorry",How Many Slugs Can We Throw Against the Wall Until We Question Our Own Morality,I'm Glad We're Friends,Count Your Lucky Stars,2020,QMQRB2000022,13,414432526,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Amy Abts,Hotel Bars,IRL,Another Three Chord Production,2025,QM42K2574911,14,414432707,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
High Volt Rustler,Backslide,No Longer Blue,High Volt Rustler,2009,USX9P0971408,15,414432930,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
HALEY,Give Yourself Away,Pleasureland,Memphis Industries,2018,GBCSG1800090,16,414433264,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Amber Woodhouse,Golden,Golden,Amber Woodhouse Music,2023,QZK6F2347011,17,414433484,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Breakneck The Mage,The Days,The Days,Sonic Swings Records,2025,TCAJI2563429,18,414433712,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Brother Ali,Deep Cuts,Satisfied Soul EP,Mello Music Group,2024,USA2B2404857,19,414434096,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Portage,The Rain,Creatures,Portage,2016,USDY41620488,20,414434422,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Christopher James Koza,radiate dissolve,radiatedissolve,Giant Client Publishing,2017,QZR8A1700107,21,414434650,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Spider John Koerner,Stardust,Stargeezer,Red House Records,1996,USRHR9608417,22,414434947,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Prince & The Revolution,Let's Go Crazy - Special Dance Mix,Let's Go Crazy,Warner Rhino Off Roster-Audio,2006,USWB10600303,23,414435262,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Prince,Darling Nikki - 2015 Paisley Park Remaster,Purple Rain Deluxe (Expanded Edition),Warner Records Label,2017,USWB11700466,24,414435269,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Gild,Don't Dream,Belief,RCI,1997,USHM80724660,25,414435323,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Humbird,Blueberry Bog,Right On,Nettwerk Music Group,2024,CAN112400316,26,414435811,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Chastity Brown,Drive Slow,Silhouette of Sirens,Red House Records,2017,USRHR1729801,27,414435949,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Gary Louris,Living On My Phone,Dark Country,SHAM,2025,QMBZ92485848,28,414436283,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Lila Downs,Shake Away,Shake Away,Manhattan Records,2008,USMR80800084,29,414436493,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
Bob Mould,Fireball,Blue Hearts,Merge Records,2020,USMRG2073004,30,414436747,20719456,WDSE 1033 The North,"May 28, 2025",https://spinitron.com/WDSE/pl/20719456/
The Cactus Blossoms,Everybody (feat. Jenny Lewis),One Day,Walkie Talkie Records,2022,USA2B2104000,1,415056381,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Cloud Cult,I Am A Force Field,I Am A Force Field,DISTROKID,2024,QZK6L2431849,2,415056629,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Jillian Rae,Barely Breathing,Barely Breathing,theDIYteam,2023,QM4TX2304121,3,415056895,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Skarlett Woods,"You & I (Santa Cruz, CA)",Letters To The West,Cedar Woods Records,2023,QZTB62379869,4,415057118,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Charlie Parr,Stray,Little Sun,Smithsonian Folkways Recordings,2024,USSF12326207,5,415057435,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Black River Revue,Along the Way,Just Can't Win,Black River Revue Records,2017,TCADG1775676,6,415057962,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Bad Bad Hats,Wide Right,Wide Right,Afternoon Records,2019,TCAED1907093,7,415058340,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Turn Turn Turn,Cold Hard Truth,Cold Hard Truth,Simon Recordings,2020,USA2P2016485,8,415058509,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Rachael Kilgour,Dad Worked Hard,Dad Worked Hard,Rachael Kilgour,2023,QZ5FN2309643,9,415058835,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
The Brothers Burn Mountain,Punching the Mirror,The Thrill and the Flame,Diarmada Records,2022,TCAGH2217790,10,415059350,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
All the Pretty Horses,Lovers,Creature,All the Pretty Horses,2002,USHM20403341,11,415059521,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
The Jayhawks,The Man Who Loved Life,Sound Of Lies,American Recordings Catalog P&D,2013,USSM19605662,12,415059883,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Mike Munson,Kansas City Lightning,Kansas City Lightning,Liatris Records,2025,QMCQP2500001,13,415060238,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Actual Wolf,Honey Honey,Itasca,Chaperone Records,2015,TCACF1573787,14,415060598,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Superior Siren,Rattlesnake,Rattlesnake,Superior Siren,2024,USDWH2450001,15,415060962,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Jerree Small,60 Words For Water,Mobius,Jerree Small,2004,USHM20464887,16,415061190,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Alan Sparhawk,Screaming Song,Alan Sparhawk with Trampled by Turtles,Sub Pop Records,2025,USSUB2468005,17,415061537,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Boss Mama & the Jebberhooch,Sweet Molasses,Greetings From the Barnyard Lounge,Boss Mama & the Jebberhooch,2024,USDY42457846,18,415062305,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Trueno,DANCE CRIP,DANCE CRIP,NEUEN,2021,ARRWN2000082,19,415062838,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Moors and McCumber,My Heart Is Open,Pandemonium,Moors and McCumber,2014,USHM91496406,20,415062871,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Nolen Sellwood,Eccentric Eyes,Otherwise,New Folk Records,2023,USY252200319,21,415063082,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Cafe Accordion Orchestra,A Matelo,Dancing On The Moon,Cafe Accordion Orchestra,1996,USHM20719408,22,415063389,20751938,WDSE 1033 The North,"Jun 4, 2025",https://spinitron.com/WDSE/pl/20751938/
Anna Stine,Threshold of You,Company of Now,Anna Stine,2018,QZEG51800006,1,415691866,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Early Eyes,Wander,Sunbathing,Epitaph,2021,USEP42003005,2,415692442,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Bizhiki,Gigawaabamin (Come Through),Gigawaabamin (Come Through),Jagjaguwar,2024,US38Y2346509,3,415692735,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
jeremy messersmith,The New York Times Crossword Puzzle,The New York Times Crossword Puzzle,jeremy messersmith,2024,QZTAZ2406421,4,415692927,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Cowboys In The Campfire,Dream,Dream,Done To Death Music,2023,USDBY2300018,5,415693121,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Alex Crankshaft Larson,The Right Dress,Tied to the World Behind Me,Self,2015,TCACI1531597,6,415693453,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Black Market Brass,Echo A.D.,Echo A.D.,Colemine Records,2023,QZDMQ2250274,7,415694064,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
The Replacements,I.O.U. - 2020 Remaster,Pleased To Meet Me (Deluxe Edition),Warner Rhino Off Roster-Audio,2013,USRE10100506,8,415694282,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Rick McLean,Terran Boy,Zoom Out & Breathe,904860 Records DK,2025,QZPLS2526764,9,415694476,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Nur-D,Glory,Chicago Avenue,Vinyl City Records,2020,QZPLR2054012,10,415694822,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Ice the Don,Preacher On A Sunday Morning,Primetime,"U.N.T. Entertainment, LLC.",2018,QMEZE1834692,11,415694800,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Atomic,For my good,222,DISTROKID,2024,QZDA72482370,12,415695064,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Brother Ali,Satisfied Soul,Satisfied Soul,Mello Music Group,2025,USA2B2404856,13,415695081,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Life Parade,Mr. Intelligence Man,Suburban Life,Life Parade,2019,QMAAK1947084,14,415695449,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Henry Bullard,Burning in theh Sun,Lake Monster Collective EP,The Weight Room,2025,QZNWT2589748,15,415695738,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Marc Gartband,Bedroom Talk,Over the Moon,Marc Gartband,2025,USDY42577004,16,415696081,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Al Church,You Came into My Life,Next Summer,Al Church,2015,TCACE1502687,17,415696342,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Glitteratti,Sign of Life,Sing It to the Sky,Glitteratti,2016,USHM21724406,18,415696509,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Night Moves,Ring My Bell,Ring My Bell,Domino Recording Co,2025,GBCEL2400854,19,415696826,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Bully,Sharktooth - Bonus Track,Feels Like,Columbia,2015,USSM11500313,20,415697053,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Lyla Abukhodair,A Song For Me,Scream,Lyla Abukhodair,2022,QZES72207564,21,415697266,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Kaylee Matuszak,COLOR TV!,Leading Lady,Kaylee Matuszak,2024,USHM82410055,22,415697561,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Kiss the Tiger,Who Does Her Hair?,Vicious Kid,Kiss the Tiger,2021,USLZJ2118190,23,415697683,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Junkboat,Kerosene,Junkboat,Sparta Sound,2011,USHM81112959,24,415697879,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Keep for Cheap,Yours/Mine,Big Grass,Keep for Cheap,2024,SEYOK2421372,25,415698133,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
S3RA,i wish you would call,what it needed to be,Number Five Records,2022,QZHN62275375,26,415698317,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Haley Bonar,Called You Queen,Impossible Dream,Universal Music,2016,USW2Z1600050,27,415698671,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
New Salty Dog,Granky,"Pecan, Pecon",Hoop Dog Records LLC,2020,QZBLV1800015,28,415698856,20784200,WDSE 1033 The North,"Jun 11, 2025",https://spinitron.com/WDSE/pl/20784200/
Mark Mallman,Terrified,The End Is Not the End,Polkadot Mayhem,2016,TCACL1503115,1,416334425,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Cloud Cult,Over and Out,Alchemy Creek,DISTROKID,2024,QZRP52433136,2,416334667,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Emily Haavik,If I Were a Ghost,If I Were a Ghost,Emily Haavik,2025,USDY42522307,3,416334848,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
The Latelys,That's Okay,Waiting for You,DISTROKID,2019,QZHN71909222,4,416335023,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Dan Wilson,Come Home Angel,Free Life,American Recordings Catalog P&D,2019,USSM10702869,5,416335318,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Dead Man Winter,Forever,Always Now,Dancing Eagle,2024,QMBZ92424119,6,416335822,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Marah in the Mainsail,The Great Beyond,Bone Crown,Last Triumph,2017,TCADG1793837,7,416336024,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Good Morning Bedlam,The Zoo,Like Kings,Last Triumph,2018,ushm21881523,8,416336362,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
The Brass Kings,Northbound,Washboard Rope Guitar,Dream Horse Records,2008,USDWH0800001,9,416336603,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Sonny Knight & The Lakers,I Could Never Get Tired,Sooner or Later,Secret Stash Records,2016,FR96X1673853,10,416336822,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Mary Bue,Bedding Down with the Deer,Bedding Down with the Deer,Mary Bue,2024,USX9P2454475,11,416337190,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Zoo Animal,Dig a Pony,"Minnesota Beatle Project, Vol. 5",Vega Productions,2013,USW2Z1300135,12,416337426,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Gully Boys,Love Me 2,Love Me 2,Smartpunk Records,2025,QZNWP2551433,13,416337690,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
26 BATS!,Do What You Do,Onyx,Kremblems,2019,TCAEA1986583,14,416337900,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Hippo Campus,Boyish,Landmark,Transgressive,2016,QM5BK1600109,15,416338944,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Remo Drive,Hold You,Mercy,Epitaph,2024,USEP42334010,16,416339356,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Sarah Krueger,Shoot Down the Sun,Dancing With Phantoms,Sarah Krueger,2011,USHM91161347,17,416339684,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Dave Simonett,By the Light of the Moon,Red Tail,Dancing Eagle,2020,QMFME1937071,18,416339891,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
John Mark Nelson,The Moon and the Stars,The Moon and the Stars,John Mark Nelson,2014,TCABX1467013,19,416340017,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
James Moors,Waiting for the Real Thing,Skyline,Tortes Music,2010,USHM81012276,20,416340382,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Tina Schlieske,Never Knew Love,Slow Burn,Movement Recording Co.,2005,ushm90569531,21,416340657,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Teague Alexy,Babylon Babblin',Babylon Babblin',Effervescent,2025,USDY42528171,22,416341120,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Dred I Dread,Revolution,Listen to the Revolution,3875739 Records DK,1999,QZHN72228455,23,416341313,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Gary Louris,Two Birds,Dark Country,SHAM,2025,QMBZ92485853,24,416341545,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Dana Thompson,Climb Out,Ox,Dana Thompson,2004,USHM90758389,25,416341757,20816623,WDSE 1033 The North,"Jun 18, 2025",https://spinitron.com/WDSE/pl/20816623/
Mary Bue,Trying to Fight the Wind,Trying to Fight the Wind,Mary Bue,2025,USCGH2512064,1,416977055,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Sam Miltich & the Clearwater Hot Club,How Deep Is the Ocean,"Just You, Just Me",Clearwater Hot Club Productions,2008,USHM80893605,2,416977296,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Luke LeBlanc,Break My Wall,Places,,2023,usl4q2327370,3,416977667,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Pert Near Sandstone,The Long Decline,Paradise Hop,Pert Near Music,2011,USW2Z1100305,4,416977862,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Gaelynn Lea,Perfect,Music from Macbeth,Gaelynn Lea Music,2025,QZ5342500002,5,416978184,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Semisonic,Gone To The Movies,Feeling Strangely Fine,Geffen,2018,USMC19857428,6,416978447,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Tommy Stinson,Breathing Room,L.M.A.O.,Fat Possum,2015,USDBY1500373,7,416978706,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
The Penny Peaches,Wondering Too,Wondering Too,The Penny Peaches,2024,QT23N2400008,8,416979181,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Ross Thorn,South of Somewhere,Hugo,Casa de Copas,2023,USLZJ2343583,9,416979494,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Alan Sparhawk,Princess Road Surgery,Alan Sparhawk with Trampled by Turtles,Sub Pop Records,2025,USSUB2468007,10,416979796,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
the Dukes of Hubbard,Planet Reid,Planet Reid,the Dukes of Hubbard,2003,USHM20422976,11,416980009,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Adam Levy,Atoms Never Die,Naubinway,Think Piece Publishing LLC,2015,QM6P41522455,12,416980405,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Golden Smog,Making Waves (Remastered Album Version),"Stay Golden, Smog: The Best Of Golden Smog - The Ryko Years",Ryko/Rhino,2019,USRY10446010,13,416980590,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Breanne Marie & the Front Porch Sinners,Dashboard Dandelion,Dashboard Dandelion,Breanne Marie & the Front Porch Sinners,2025,USDY42581091,14,416980918,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Caroline Smith,Buy Me Something,Half About Being a Woman,United Interests,2013,USA6B1311508,15,416981173,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Craig Finn,People Of Substance,People Of Substance,Tamarac,2025,QZNVN2410002,16,416981891,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Humbird,Fast Food,Right On,Nettwerk Music Group,2024,CAN112400318,17,416982175,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Bruce Lazarus,Song of the Earth,Song of the Earth,Consider It Correspondence,2016,USCGH1216003,18,416982352,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Mixtape for the Milky Way,Video Games,Mixtape for the Milky Way,2209147 Records DK2,2020,QZNWQ2021425,19,416982579,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Prince,Paisley Park,4Ever,Legacy Recordings,2021,USWB19902874,20,416982888,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Hoopsnakes,Cigarettes & Gas,Ten the Hard Way,Mouthpiece,1995,,21,416982893,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Night Moves,Hold On To Tonight,Hold On To Tonight,Domino Recording Co,2025,GBCEL2400851,22,416983394,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Charlie Parr,Another Dog,Dog,Red House Records,2017,USRHR1730009,23,416983598,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Erik Koskinen,Bonner County,Down Street / Love Avenue,Real Phonic Records,2024,USCGJ2496949,24,416983874,20848931,WDSE 1033 The North,"Jun 25, 2025",https://spinitron.com/WDSE/pl/20848931/
Dan Israel and the Cultivators,Feet in the Water,Love Ain't a Cliche,Hayden's Ferry/Persistent Records,2002,USHM90413450,1,417617463,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Keith Secola,Noize,Circle,Keith Secola,1992,USCGJ0672209,2,417617761,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Communist Daughter,Tumbleweed,Soundtrack To The End,Grain Belt Records,2010,US6SS1000010,3,417618038,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Trampled by Turtles,On My Way Back Home,Always Here,Banjodad Records,2024,USX6D2400004,4,417618346,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Emily Haavik & the 35s,Livin' Left,Ease Back,Emily Haavik & the 35s,2018,USL4Q1866431,5,417618547,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Black River Revue,Rocky Ground,Just Can't Win,Black River Revue Records,2017,TCADG1775680,6,417618876,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Spider John Koerner,The Days of Forty-nine,Stargeezer,Red House Records,1996,USRHR9608413,7,417619090,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Brenda Weiler,Daisy,Fly Me Back,Brenda Weiler/Beandip Productions,2000,USB940400030,8,417619265,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Glitteratti,I'll Play the Fiddle,Sing It to the Sky,Glitteratti,2016,USHM21724405,9,417619601,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Coyote,Crow's Foot,When It All Comes Down,Coyote,2010,USX9P0975675,10,417619839,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Toby Thomas Churchill,Where Did This Neighbor Come from ?,Death,Toby Thomas Churchill,2011,USX9P1166943,11,417620081,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Jamie Kallestad,Marble Stair,Marble Stair,Coyote Music,2024,USL4Q2456824,12,417620493,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Maddy Siiter,Lucky Ones,Runaway,Maddy Siiter,2014,QMC7L1400012,13,417621014,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
Remo Drive,Houseplant,Mercy,Epitaph,2024,USEP42334007,14,417621618,20881270,WDSE 1033 The North,"Jul 2, 2025",https://spinitron.com/WDSE/pl/20881270/
